_op,_source_ts,_connector_batch_id,contract_id,customer_id,household_id,product_id,tariff_plan_id,contract_type,status,start_date,end_date,monthly_amount,created_at,updated_at
INSERT,2025-01-05 10:00:00,batch_001,6001,1001,2001,7001,5001,residential_energy,active,2025-01-05,2026-01-04,349.00,2025-01-05 10:00:00,2025-01-05 10:00:00
INSERT,2025-01-05 10:05:00,batch_001,6002,1002,2002,7002,5002,residential_energy,active,2025-01-05,2026-01-04,299.00,2025-01-05 10:05:00,2025-01-05 10:05:00
INSERT,2025-01-05 10:10:00,batch_001,6003,1003,2003,7003,5004,commercial_energy,active,2025-01-05,2026-01-04,1499.00,2025-01-05 10:10:00,2025-01-05 10:10:00
INSERT,2025-01-06 11:00:00,batch_002,6004,1004,2004,7001,5003,residential_energy,active,2025-01-06,2026-01-05,399.00,2025-01-06 11:00:00,2025-01-06 11:00:00
INSERT,2025-01-06 11:05:00,batch_002,6005,1005,2005,7003,5004,commercial_energy,active,2025-01-06,2026-01-05,1299.00,2025-01-06 11:05:00,2025-01-06 11:05:00
INSERT,2025-01-07 09:30:00,batch_003,6006,1006,2006,7001,5001,residential_energy,active,2025-01-07,2026-01-06,349.00,2025-01-07 09:30:00,2025-01-07 09:30:00
INSERT,2025-01-08 12:00:00,batch_004,6007,1007,2007,7002,5005,residential_energy,active,2025-01-08,2026-01-07,449.00,2025-01-08 12:00:00,2025-01-08 12:00:00
INSERT,2025-01-10 15:00:00,batch_005,6008,1008,2008,7001,5003,residential_energy,active,2025-01-10,2026-01-09,399.00,2025-01-10 15:00:00,2025-01-10 15:00:00
INSERT,2025-01-12 10:00:00,batch_006,6009,1009,2009,7003,5004,commercial_energy,active,2025-01-12,2026-01-11,1499.00,2025-01-12 10:00:00,2025-01-12 10:00:00
INSERT,2025-01-15 17:00:00,batch_007,6010,1010,2010,7002,5001,residential_energy,active,2025-01-15,2026-01-14,349.00,2025-01-15 17:00:00,2025-01-15 17:00:00
INSERT,2025-01-18 10:30:00,batch_008,6011,1001,2011,7004,5005,residential_energy,active,2025-01-18,2026-01-17,449.00,2025-01-18 10:30:00,2025-01-18 10:30:00
INSERT,2025-01-20 09:00:00,batch_008,6012,1004,2004,7005,5001,service_agreement,active,2025-01-20,2026-01-19,99.00,2025-01-20 09:00:00,2025-01-20 09:00:00
UPDATE,2025-02-01 10:00:00,batch_010,6003,1003,2003,7003,5004,commercial_energy,active,2025-01-05,2026-01-04,1599.00,2025-01-05 10:10:00,2025-02-01 10:00:00
UPDATE,2025-02-10 09:00:00,batch_012,6007,1007,2007,7002,5005,residential_energy,cancelled,2025-01-08,2025-02-10,449.00,2025-01-08 12:00:00,2025-02-10 09:00:00
UPDATE,2025-02-15 14:00:00,batch_013,6001,1001,2001,7001,5005,residential_energy,active,2025-01-05,2026-01-04,449.00,2025-01-05 10:00:00,2025-02-15 14:00:00
UPDATE,2025-02-20 16:30:00,batch_014,6005,1005,2005,7003,5004,commercial_energy,renewed,2025-01-06,2027-01-05,1399.00,2025-01-06 11:05:00,2025-02-20 16:30:00
UPDATE,2025-02-28 10:30:00,batch_015,6009,1009,2009,7003,5004,commercial_energy,suspended,2025-01-12,2026-01-11,1499.00,2025-01-12 10:00:00,2025-02-28 10:30:00
DELETE,2025-03-05 09:20:00,batch_016,6007,1007,2007,7002,5005,residential_energy,cancelled,2025-01-08,2025-02-10,449.00,2025-01-08 12:00:00,2025-03-05 09:20:00
UPDATE,2025-03-10 12:30:00,batch_017,6010,1010,2010,7002,5005,residential_energy,active,2025-01-15,2026-01-14,449.00,2025-01-15 17:00:00,2025-03-10 12:30:00
